cons.ID,long.name,short.name,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28
10001,Chance,Cha,NL(i),NL(ii),Cha 1 A,Cha 1 B,Cha 1 C,Cha 1,Cha 2 A,Cha 2 B,Cha 2,Cha 3 A,Cha 3 B,Cha 3 C,Cha 3 D,Cha 3 E,Cha 3,Cha 4 A,Cha 4 B,Cha 4 C,Cha 4 D,Cha 4 E,Cha 4,Cha 5 A,Cha 5 B,Cha 5 C,Cha 5,Cha 6 A,Cha 6 B,Cha 6
10002,Conceptions of Statistics,CoS,NL(i),NL(ii),CoS 1 A,CoS 1,CoS 2 A,CoS 2 B,CoS 2,CoS 3 A,CoS 3 B,CoS 3 C,CoS 3 D,CoS 3 E,CoS 3 F,CoS 3,CoS 4 A,CoS 4 B,CoS 4 C,CoS 4 D,CoS 4,NA,NA,NA,NA,NA,NA,NA,NA,NA
10003,Data Displays,DaD,NL(i),NL(ii),DaD 1 A,DaD 1,DaD 2 A,DaD 2 B,DaD 2,DaD 3 A,DaD 3,DaD 4 A,DaD 4 B,DaD 4,DaD 5 A,DaD 5 B,DaD 5,DaD 6 A,DaD 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10004,Informal Inference,InI,NL(i),NL(ii),InI 1 A,InI 1,InI 2 A,InI 2,InI 3 A,InI 3 B,InI 3,InI 4 A,InI 4 B,InI 4,InI 5 A,InI 5,InI 6 A,InI 6 B,InI 6,InI 7 A,InI 7 B,InI 7,NA,NA,NA,NA,NA,NA,NA,NA
10005,Modeling Variability,MoV,NL(i),NL(ii),MoV 1 A,MoV 1,MoV 2 A,MoV 2 B,MoV 2,MoV 3 A,MoV 3 B,MoV 3,MoV 4 A,MoV 4 B,MoV 4 C,MoV 4 D,MoV 4,MoV 5 A,MoV 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10006,Meta-Representational Competence,MRC,NL(i),NL(ii),MRC 1 A,MRC 1,MRC 2 A,MRC 2 B,MRC 2,MRC 3 A,MRC 3,MRC 4 A,MRC 4 B,MRC 4,MRC 5 A,MRC 5 B,MRC 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
