"","Cha_EAP","CoS_EAP","DaD_EAP","SE_Cha","SE_CoS","SE_DaD","raw.Cha","raw.CoS","raw.DaD","max.Cha","max.CoS","max.DaD"
"248",1.10010234212927,2.44098248198704,0.631927578701498,0.572505062446513,0.702465980674507,0.28484408390852,5,20,9,8,20,16
"249",1.41316123117363,2.22243311374163,0.756129852366535,0.599009352166523,0.694539828981139,0.32773793803772,6,19,8,8,20,12
"250",0.439080278400014,1.08071661868458,0.240100840342245,0.554166068171528,0.556490355140608,0.306181913085412,4,17,8,8,20,18
"251",0.8090196444549,1.46957553136052,0.31661857244972,0.562142905534652,0.601900309607183,0.330453407784163,5,18,4,8,20,10
"252",1.38485450039842,2.47930899997362,0.58894547041308,0.604563618442779,0.736285695341307,0.352996738497184,6,20,2,8,20,6
"253",0.567528696079095,1.2384579385755,0.494772973460002,0.546802663364098,0.559434384057571,0.253978736516912,4,17,14,8,20,24
"254",0.463704355225429,0.0627467145400445,0.0244876659425052,0.544331940732789,0.468904951008689,0.259468294216369,5,13,5,8,20,14
"255",-0.228065040425932,-0.431372248612931,-0.0730301601036906,0.574626636091951,0.448796008794036,0.319851749293758,3,11,3,8,20,6
"256",0.650226899575142,-0.730511838095618,-0.47890632356472,0.519527178101449,0.491675514391973,0.252357530768973,18,7,8,18,15,33
"257",-1.65352785954827,-0.180835045869418,-0.126243689750355,0.457530809924247,0.52013964425396,0.249305619697982,0,10,13,18,15,27
"258",-0.236159827528581,-1.99488470121208,-0.058361606665475,0.362341845580725,0.516127333491211,0.192208360649392,13,1,16,18,15,27
"259",-0.0830929616365591,-2.01043115259877,-0.634742473155151,0.378534792657511,0.516328744213516,0.179104730547638,15,2,8,18,15,39
"260",-1.38914529956213,-1.04229647144593,-0.101071951968826,0.393015265432336,0.476701456356172,0.228428293483346,2,6,17,18,15,33
"261",-1.11041782182319,-1.22818839194859,-0.618712956669018,0.351314585229329,0.472304789222539,0.191157028370864,5,6,7,18,15,29
"262",-1.70553023382126,-3.25863904259143,-1.11174389967495,0.473751881087871,0.687874960030274,0.263586914126764,3,0,7,18,15,45
"263",-2.00349921733589,-3.02140644911954,-0.718615814691859,0.536999032367805,0.664725773290708,0.257093201259847,1,0,10,18,15,31
"264",-2.0010147874125,-2.399253505599,-0.278037822259666,0.536296668909563,0.586739012121854,0.301373606532575,0,1,18,18,15,33
"265",-1.67880317897616,-3.19913231371099,-1.04287809213424,0.47011778218153,0.688809606162481,0.292644374348442,3,0,7,18,15,37
"266",-1.53403309358311,-0.847965294134487,-0.107710877904352,0.428093087232197,0.48190626299098,0.232638584715676,1,7,18,18,15,37
"267",0.0695064760581058,-1.98034980471633,-0.618752777972448,0.399692887570709,0.516186724003024,0.200512338731946,16,2,6,18,15,27
"268",-1.52534397401947,-3.24772956595459,-1.15293877230768,0.430608258067243,0.679965881525106,0.247913814013956,4,0,6,18,15,45
"269",-0.461960025372606,-2.31694039451375,-0.596530567866136,0.317065186529292,0.546882463908803,0.181956541819845,12,1,10,18,15,33
"270",-1.4498791799484,-2.77200325588953,-1.03164322890786,0.41325888379452,0.62643960064865,0.292041009700542,4,1,6,18,15,37
"271",-0.180883960611052,-2.73298339714955,-0.843305712048788,0.373976280676123,0.62472002300776,0.304205261075815,15,0,4,18,15,27
"272",0.577131862390206,0.843665257396353,0.0561941718282348,0.503378241774373,0.582610364918589,0.182293119528944,16,12,17,18,15,35
"273",-1.44267266786458,-0.577761209468563,-0.52503149958511,0.404349392732939,0.490230333475632,0.209149990422527,2,9,13,18,15,45
"274",-0.51018740643737,-2.49668413178079,-0.879658335100751,0.309836544110479,0.589580606408259,0.305170596301011,12,1,6,18,15,37
"275",0.554426021222306,1.41995924363339,0.433274155765432,0.5056738999203,0.633547319819521,0.270941589322098,15,13,24,18,15,39
"276",1.79758670288115,1.97988937227749,0.831140846465388,0.693556137506466,0.703550646081581,0.306492206265131,18,13,23,18,15,27
"277",-0.310926306695614,0.338434864990781,-0.0339551458338796,0.351462117502041,0.546319848934873,0.197708156457604,11,11,12,18,15,23
"278",0.25503468296097,-0.732896200179227,-0.369270618434284,0.441412538821992,0.494823148034619,0.296370304311024,16,7,8,18,15,27
"279",-0.832618933439679,-0.387276967460982,-0.00786092861059623,0.334082819188624,0.707480153112819,0.199609836556571,6,2,15,18,5,23
"280",-0.564907668317533,-0.0664291455130467,-0.217450703277908,0.299624315276409,0.529905155490555,0.289851848079576,9,10,12,18,15,33
"281",-1.36370843886535,-0.0150468801286718,-0.385367402119344,0.390821895525584,0.537414058941013,0.291696302654333,2,11,10,18,15,31
"282",0.224513559361115,-0.32061922672059,0.0414631621185584,0.428407117508755,0.502363822092096,0.175355259070091,15,8,16,18,15,27
"283",0.633484127499217,-0.289317277590138,-0.012748199844749,0.508489302595373,0.503677953918151,0.153319449125225,17,8,13,18,15,27
"284",-1.15738600316771,-0.0427020761137022,0.00656896304874214,0.352145155525317,0.513615917114865,0.116483291042575,3,10,19,18,15,35
"285",0.558528558586571,0.815180612405707,0.01698597835985,0.496791287568662,0.574812200671575,0.145266849297744,16,12,15,18,15,33
"286",-1.36852610128625,-0.886088996193585,-0.7447763173562,0.390071198995319,0.483725092624852,0.265403190017923,3,8,5,18,15,33
"287",-1.27792527467866,-0.896367200862827,-0.295323927844972,0.373188292292051,0.487656840025205,0.301232863325223,3,7,15,18,15,37
"288",-1.53707962033269,-2.36929033055516,-0.864099657598414,0.435223844304521,0.579497989487589,0.307771205601244,3,2,5,18,15,27
"289",-1.23537937287855,-0.42680270823049,-0.259794366442489,0.366837122230068,0.508837446893879,0.300064486452791,3,9,10,18,15,25
"290",-0.675773675521052,0.588333688628911,0.00622160370016576,0.299644310320911,0.552783157757866,0.116919276318302,7,12,17,18,15,35
"291",-0.675712925380013,-0.559815437477753,-0.210265187250663,0.303166617250856,0.497815251811594,0.288405498799358,8,8,11,18,15,27
"292",1.06155985545743,1.17775636093446,0.428052947715805,0.593753186162489,0.626515932493855,0.281804569357255,17,12,18,18,15,27
"293",-0.0232722050850753,0.19980814946189,0.129968972019956,0.38953455686368,0.546530428040842,0.24876592839472,13,10,21,18,15,35
"294",1.8011825075965,3.05347408978001,1.09097663784726,0.69082137141869,0.780550337727321,0.275137071472175,17,15,33,18,15,39
