"","Cha","CoS","DaD"
"Cha",1.32255673141122,1.23326893493506,0.471660848809473
"CoS",1.23326893493506,2.18833461085439,0.661791474806835
"DaD",0.471660848809473,0.661791474806835,0.322621467766823
"popMean",0,0,0
