,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14
106,3,4,4,1,1,5,4,1,5,5,2,1,5,5
107,3,4,4,1,1,5,1,1,5,5,2,5,5,5
108,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,3,4,4,6,6,5,4,1,5,5,2,5,5,5
111,3,4,4,6,1,5,4,1,5,5,2,5,5,1
112,3,4,4,1,1,5,4,1,5,5,2,5,5,1
113,3,4,4,6,6,5,4,5,5,5,2,5,5,1
114,3,4,4,1,1,5,4,1,5,5,2,5,5,1
115,3,1,1,1,1,5,4,5,1,5,2,5,5,5
116,3,1,4,1,1,5,4,5,1,1,1,1,5,1
117,3,4,4,6,1,5,4,5,5,5,2,5,5,5
118,3,1,1,1,1,5,4,5,1,5,2,1,5,1
119,3,1,4,1,1,5,1,5,5,5,1,1,5,1
120,3,4,4,1,1,5,1,5,5,5,2,1,5,5
121,3,4,4,6,6,1,1,1,5,5,2,5,5,5
122,3,4,4,1,1,5,4,5,5,5,2,1,5,5
123,3,4,4,1,1,5,4,5,5,5,1,1,5,5
124,3,1,4,6,6,5,4,5,5,5,2,1,5,5
125,3,4,4,6,6,5,4,5,5,5,2,1,5,5
126,3,4,4,6,6,5,4,5,5,5,2,1,5,5
127,3,4,4,6,6,5,4,5,5,5,2,1,5,5
128,3,4,4,6,6,5,1,1,5,5,2,5,5,5
129,1,1,1,1,1,1,1,1,1,1,1,1,1,1
130,3,4,4,1,1,1,1,1,1,5,1,1,5,5
131,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132,3,4,4,6,1,5,1,1,5,5,2,5,5,5
133,3,4,4,6,6,5,4,1,5,5,2,5,5,5
134,3,1,4,1,1,5,4,5,1,5,1,1,5,5
135,3,1,4,1,6,5,4,5,1,5,1,1,1,5
136,3,1,1,1,1,1,4,1,1,5,1,1,5,1
137,3,1,1,1,1,5,4,5,5,5,1,1,5,1
138,3,4,4,1,1,5,4,5,5,5,2,5,5,5
139,3,4,4,6,6,5,4,1,5,5,2,5,5,1
140,3,4,4,6,6,5,4,5,5,5,2,5,5,5
141,3,1,1,6,1,5,4,5,1,5,1,1,5,5
142,3,1,1,1,1,5,4,5,5,5,1,1,5,1
143,3,4,4,6,6,5,4,5,5,5,2,5,5,5
144,3,1,1,1,6,5,1,1,5,5,2,1,5,1
145,3,4,4,6,6,5,4,1,5,5,1,1,5,5
146,3,1,1,1,1,5,4,5,5,5,2,5,5,5
